
--- DEPT: ARC ---
Sem 2 | Naveed Mufti | CGPA: 3.3
Sem 6 | Khadija Bashir | CGPA: 3.68
Sem 6 | Saqib Iqbal | CGPA: 3.2
Sem 7 | Mahira Fahim | CGPA: 3.69
Sem 7 | Arslan Pirzada | CGPA: 3.03
Sem 8 | Danish Latif | CGPA: 3.24
Sem 8 | Danish Ismail | CGPA: 3.02
Dept Stats: Avg 3.356 | High 3.97 | Low 2.81

--- DEPT: MEC ---
Sem 1 | Yahya Baloch | CGPA: 3.31
Sem 1 | Danish Aziz | CGPA: 2.9
Sem 2 | Mubarak Kazmi | CGPA: 3.6
Sem 3 | Madiha Mirza | CGPA: 3.93
Sem 4 | Talha Rana | CGPA: 3.08
Sem 4 | Anum Durrani | CGPA: 2.09
Sem 5 | Yahya Bhatti | CGPA: 3.64
Sem 5 | Ibrahim Rizvi | CGPA: 3.43
Sem 5 | Ibrahim Tanveer | CGPA: 2.56
Sem 6 | Khalid Javed | CGPA: 3.88
Sem 6 | Muhammad Niazi | CGPA: 3.83
Sem 6 | Rafiq Rahman | CGPA: 3.49
Sem 6 | Hiba Farooqui | CGPA: 3.4
Sem 6 | Zara Siddiqui | CGPA: 3.2
Sem 7 | Jamil Zaheer | CGPA: 2.27
Dept Stats: Avg 3.24067 | High 3.93 | Low 2.09

--- DEPT: PHY ---
Sem 3 | Taha Shafiq | CGPA: 3.01
Sem 4 | Luqman Mufti | CGPA: 3.12
Sem 5 | Ruqayyah Haider | CGPA: 2.94
Sem 5 | Noor Haider | CGPA: 2.82
Sem 6 | Sami Wali | CGPA: 3.8
Sem 6 | Mahnoor Aslam | CGPA: 3.6
Sem 7 | Wasim Iqbal | CGPA: 2.54
Sem 8 | Faiza Warraich | CGPA: 3.25
Sem 8 | Ayesha Osmani | CGPA: 3.08
Dept Stats: Avg 3.12889 | High 3.8 | Low 2.54
